epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,31563,1.40836,0.71841,1.0287,0.67987,0.50298,0.53542,0.33791,1.30158,0.69931,1.01578,0.006733,0.006733,0.006733
101,32249.3,1.40823,0.71746,1.03027,0.68138,0.50275,0.53518,0.3377,1.30199,0.70026,1.01592,0.0067,0.0067,0.0067
102,32788.1,1.40365,0.71477,1.02738,0.67947,0.50326,0.53504,0.33736,1.30239,0.70053,1.01608,0.006667,0.006667,0.006667
103,33372.2,1.40457,0.71386,1.02689,0.68003,0.50292,0.53511,0.33742,1.30287,0.70078,1.01624,0.006634,0.006634,0.006634
104,34066.3,1.40484,0.71542,1.02562,0.68111,0.50309,0.53508,0.33748,1.30321,0.70098,1.01638,0.006601,0.006601,0.006601
105,34765.6,1.40304,0.71589,1.02638,0.68151,0.50326,0.53541,0.33767,1.3035,0.70075,1.01646,0.006568,0.006568,0.006568
106,35334.7,1.39868,0.71036,1.0242,0.68393,0.50279,0.53536,0.33773,1.30395,0.70054,1.01666,0.006535,0.006535,0.006535
107,36024,1.40257,0.71577,1.02611,0.68639,0.50228,0.53524,0.33759,1.30433,0.70058,1.01677,0.006502,0.006502,0.006502
108,36841.4,1.40271,0.7147,1.02618,0.68846,0.50162,0.535,0.33768,1.30458,0.70025,1.01681,0.006469,0.006469,0.006469
109,37603.1,1.39572,0.70913,1.02371,0.68907,0.50201,0.53473,0.33752,1.30502,0.69973,1.01696,0.006436,0.006436,0.006436
110,38167.7,1.40262,0.71276,1.02496,0.69071,0.5011,0.53417,0.33735,1.30529,0.70011,1.01707,0.006403,0.006403,0.006403
111,38768.1,1.39449,0.70925,1.02345,0.69228,0.50046,0.53383,0.33711,1.30574,0.7001,1.01723,0.00637,0.00637,0.00637
112,39319.6,1.40152,0.71641,1.0267,0.69308,0.49938,0.53335,0.33682,1.30597,0.69995,1.01732,0.006337,0.006337,0.006337
113,40025.6,1.39382,0.70874,1.02465,0.69502,0.49941,0.5329,0.33653,1.30643,0.70013,1.01746,0.006304,0.006304,0.006304
114,40611.9,1.3921,0.70666,1.02254,0.69865,0.49818,0.53275,0.33636,1.30693,0.70018,1.0176,0.006271,0.006271,0.006271
115,41201.2,1.39246,0.70718,1.02197,0.69816,0.498,0.53239,0.33601,1.30721,0.69956,1.01771,0.006238,0.006238,0.006238
116,41902,1.39615,0.70907,1.02304,0.69804,0.49758,0.53172,0.3355,1.30764,0.69915,1.01786,0.006205,0.006205,0.006205
117,42623.6,1.39114,0.70741,1.0212,0.69741,0.49738,0.53093,0.3347,1.30806,0.69883,1.01801,0.006172,0.006172,0.006172
118,1090.36,1.39649,0.7123,1.02477,0.6958,0.49846,0.5314,0.33516,1.30683,0.69677,1.01764,0.006139,0.006139,0.006139
119,1692.84,1.39937,0.71085,1.02682,0.69174,0.49959,0.53176,0.33564,1.30562,0.69448,1.01729,0.006106,0.006106,0.006106
120,2295.3,1.39657,0.70992,1.02435,0.69055,0.49931,0.53182,0.33564,1.30467,0.69274,1.01699,0.006073,0.006073,0.006073
121,2831.44,1.39989,0.71105,1.02344,0.68659,0.49975,0.53171,0.33536,1.3037,0.69058,1.01667,0.00604,0.00604,0.00604
122,3362.12,1.3963,0.7086,1.02324,0.68404,0.49877,0.53166,0.33527,1.30298,0.689,1.01644,0.006007,0.006007,0.006007
123,3933.39,1.38844,0.70684,1.02193,0.68176,0.49858,0.53147,0.33512,1.30234,0.6878,1.01624,0.005974,0.005974,0.005974
124,4573.16,1.39172,0.70734,1.0213,0.68169,0.49821,0.53147,0.33513,1.30159,0.68644,1.01601,0.005941,0.005941,0.005941
125,5204.03,1.39103,0.70728,1.02225,0.67936,0.49736,0.53141,0.33513,1.30111,0.6853,1.01581,0.005908,0.005908,0.005908
126,5881.81,1.38829,0.704,1.02189,0.67757,0.49703,0.5315,0.335,1.3006,0.68432,1.01564,0.005875,0.005875,0.005875
127,6727.57,1.39007,0.70526,1.02085,0.67489,0.49568,0.5314,0.33479,1.30013,0.68363,1.01547,0.005842,0.005842,0.005842
128,7783.91,1.38798,0.70524,1.01978,0.6735,0.49471,0.53149,0.33512,1.29969,0.68294,1.01533,0.005809,0.005809,0.005809
129,9328.78,1.38495,0.70325,1.02043,0.67261,0.49444,0.53163,0.33522,1.29922,0.68267,1.01516,0.005776,0.005776,0.005776
130,10133.4,1.39174,0.70774,1.02097,0.67209,0.49292,0.53184,0.33547,1.29874,0.68168,1.01501,0.005743,0.005743,0.005743
131,10989.6,1.38281,0.70152,1.02038,0.67247,0.49203,0.53199,0.33556,1.29831,0.68116,1.01489,0.00571,0.00571,0.00571
132,11901,1.38375,0.70289,1.01787,0.67205,0.49186,0.53182,0.33568,1.29796,0.6804,1.01476,0.005677,0.005677,0.005677
133,12877.9,1.38161,0.70125,1.01866,0.66929,0.49218,0.53197,0.33594,1.29765,0.6802,1.01461,0.005644,0.005644,0.005644
134,13784.3,1.38452,0.70137,1.01865,0.66961,0.49187,0.5321,0.3362,1.29741,0.67986,1.01455,0.005611,0.005611,0.005611
135,14619.1,1.38194,0.70107,1.01818,0.67042,0.49138,0.53182,0.33583,1.29729,0.67964,1.01449,0.005578,0.005578,0.005578
136,15429.6,1.37798,0.69968,1.01782,0.6715,0.49176,0.532,0.33584,1.29715,0.67922,1.01444,0.005545,0.005545,0.005545
137,16342,1.37732,0.70014,1.01675,0.6718,0.49145,0.53154,0.33569,1.29711,0.67861,1.01439,0.005512,0.005512,0.005512
138,17182.3,1.37613,0.69682,1.0173,0.67297,0.49154,0.53157,0.33563,1.29696,0.67809,1.01436,0.005479,0.005479,0.005479
139,18589.6,1.37557,0.69754,1.01437,0.67127,0.49197,0.53119,0.33536,1.29691,0.67755,1.01431,0.005446,0.005446,0.005446
140,19764.9,1.37713,0.69726,1.01588,0.67047,0.49212,0.53157,0.33564,1.29678,0.67669,1.01425,0.005413,0.005413,0.005413
141,20396,1.37192,0.69811,1.01402,0.67109,0.49309,0.5314,0.33549,1.2967,0.67585,1.01424,0.00538,0.00538,0.00538
142,21079.9,1.37737,0.69701,1.01532,0.67035,0.4933,0.53082,0.33525,1.29686,0.6751,1.01422,0.005347,0.005347,0.005347
143,21653.7,1.37386,0.69681,1.01506,0.66963,0.49388,0.53034,0.33477,1.29699,0.67467,1.01416,0.005314,0.005314,0.005314
144,22209.6,1.37135,0.69348,1.01289,0.6695,0.49577,0.53025,0.33483,1.29698,0.67396,1.01411,0.005281,0.005281,0.005281
145,22795.6,1.3668,0.69234,1.01264,0.67129,0.4961,0.53024,0.33474,1.29706,0.67327,1.01408,0.005248,0.005248,0.005248
